DATE,YEAR,Population (as of winter),LETHAL CONTROL ALLOWED?,COMPLAINT,Confirmation Status,Wolf or something else?,Confirmed binary,CONFIRMED,Combined confirmation status,Chronic Farm?,Animal or Property Involved,COUNTY,Management Zone,CONTROL USED?,Control used - binary
1976-08-19T00:00:00Z,1976,,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 sheep,Douglas,1,,
1980-06-30T00:00:00Z,1980,25,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1981-04-17T00:00:00Z,1981,21,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1981-05-15T00:00:00Z,1981,21,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1981-07-21T00:00:00Z,1981,21,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1981-09-14T00:00:00Z,1981,21,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf inj,Douglas,1,,No
1981-10-29T00:00:00Z,1981,21,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 cow,Douglas,1,,No
1983-02-17T00:00:00Z,1983,19,no,Unspecified non-livestock,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,wolf complaint,Burnett,1,,No
1983-07-28T00:00:00Z,1983,19,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Forest,1,,No
1983-10-21T00:00:00Z,1983,19,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1985-03-02T00:00:00Z,1985,15,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1985-04-22T00:00:00Z,1985,15,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,2 sheep,Douglas,1,,
1986-12-28T00:00:00Z,1986,16,no,Pet depredation,,,,,,,1 dog,Lincoln,1,,
1988-08-18T00:00:00Z,1988,28,no,Livestock depredation,Unconfirmed wolf`,,Unconfirmed,,Unconfirmed,,1 Heifer,Lincoln,1,,No
1988-12-07T00:00:00Z,1988,28,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1+ sheep,Bayfield,1,,No
1989-02-03T00:00:00Z,1989,31,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Douglas,1,,No
1989-04-27T00:00:00Z,1989,31,no,Livestock depredation,Confirmed wolf`,Wolf,Confirmed,Confirmed wolf`,Confirmed wolf,,1 calf,Douglas,1,,
1989-07-06T00:00:00Z,1989,31,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,2 calves,Douglas,1,,No
1989-07-10T00:00:00Z,1989,31,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,lambs,Bayfield,1,,No
1989-07-19T00:00:00Z,1989,31,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,30 fowl,Douglas,1,,No
1989-08-29T00:00:00Z,1989,31,no,Livestock depredation,,,,,,,chickens,Lincoln,1,,
1989-12-27T00:00:00Z,1989,31,no,Pet depredation,,,,,,,1 dog,Lincoln,1,,
1990-12-07T00:00:00Z,1990,34,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,"2 dogs inj (walker, hound trng)",Marinette,1,,
1991-05-24T00:00:00Z,1991,40,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 sheep,Douglas,1,,
1991-07-17T00:00:00Z,1991,40,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,115 turkeys,Washburn,1,,
1992-05-21T00:00:00Z,1992,45,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Beagle,Lincoln,1,,
1992-06-17T00:00:00Z,1992,45,no,Livestock,,,,,,,Cattle Harassment,Barron,1,,
1992-06-27T00:00:00Z,1992,45,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,"8 sheep, 1 calf",Douglas,1,,
1992-08-31T00:00:00Z,1992,45,no,Pet depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Dog,Douglas,1,,
1992-10-21T00:00:00Z,1992,45,no,Dog,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,2 Dogs Harassed,Florence,1,,No
1992-11-16T00:00:00Z,1992,45,no,Livestock depredation,Unconfirmed,,Unconfirmed,,Unconfirmed,,1 Calf,Bayfield,1,,No
1992-12-04T00:00:00Z,1992,45,no,Unspecified non-livestock,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,wolf complaint,Ashland,0,,No
1992-12-10T00:00:00Z,1992,45,no,Pet depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 dog inj,Oneida,1,,
1993-04-23T00:00:00Z,1993,40,no,Dog,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,Harassment to dog,Lincoln,1,,No
1993-05-21T00:00:00Z,1993,40,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Cow & 8 Sheep,Douglas,1,,
1993-07-29T00:00:00Z,1993,40,no,Dog,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,Harassment to dog,Oneida,1,,No
1993-08-02T00:00:00Z,1993,40,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf inj,Taylor,1,,
1993-08-20T00:00:00Z,1993,40,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,25 Turkeys,Washburn,1,trapping,
1993-11-23T00:00:00Z,1993,40,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 Calf,Douglas,1,,No
1994-02-22T00:00:00Z,1994,57,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,2 dogs,Forest,1,,
1994-03-23T00:00:00Z,1994,57,no,Hunting dog depredation,Unconfirmed,,Unconfirmed,,Unconfirmed,,1 dog (beagle),Forest,1,,No
1994-05-11T00:00:00Z,1994,57,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,2 Horses inj,Ashland,1,,No
1994-07-01T00:00:00Z,1994,57,no,Pet depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 Dog inj,Chippewa,0,,No
1994-07-01T00:00:00Z,1994,57,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 Calf,Barron,1,,No
1994-11-03T00:00:00Z,1994,57,no,Livestock depredation,,,,,,,Cattle spooked,Barron,0,,
1994-11-04T00:00:00Z,1994,57,no,Livestock,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,Cattle Harassment,Burnett,1,trapping,Yes
1995-03-10T00:00:00Z,1995,83,no,Livestock,Unconfirmed,,Unconfirmed,,Unconfirmed,,"2 geese, dogs harrassed",Douglas,1,,No
1995-03-14T00:00:00Z,1995,83,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 calf,Burnett,1,,
1995-03-20T00:00:00Z,1995,83,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,2 calves,Burnett,1,,
1995-03-21T00:00:00Z,1995,83,no,Livestock depredation,Comfirmed wolf,Wolf,Confirmed,Comfirmed wolf,Confirmed wolf,,! Calf,Burnett,1,,
1995-03-21T00:00:00Z,1995,83,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,3 sheep inj,St. Croix,3,,
1995-03-23T00:00:00Z,1995,83,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 calf,Burnett,1,,
1995-03-31T00:00:00Z,1995,83,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 calf,Bayfield,1,,
1995-05-08T00:00:00Z,1995,83,no,,,,,,,,,Taylor,1,,
1995-05-09T00:00:00Z,1995,83,no,Unspecified non-livestock,Unconfirmed,,Unconfirmed,,Unconfirmed,,,Sawyer,1,,No
1995-05-10T00:00:00Z,1995,83,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,7 calves,Price,1,,
1995-05-16T00:00:00Z,1995,83,no,,Unconfirmed,,Unconfirmed,,Unconfirmed,,,Burnett,1,,No
1995-05-23T00:00:00Z,1995,83,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,5 calves,Price,1,,
1995-06-17T00:00:00Z,1995,83,no,Livestock depredation,Unconfirmed probably coyote,,Unconfirmed,,Unconfirmed,,"3 goats, ( 1 inj and 2 killed)",Burnett,1,,No
1995-06-19T00:00:00Z,1995,83,no,Unspecified non-livestock,Unconfirmed wolf found coyote tracks,,Unconfirmed,,Unconfirmed,,,Rusk,1,,No
1995-06-23T00:00:00Z,1995,83,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Rusk,1,,No
1995-06-26T00:00:00Z,1995,83,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 calf,Price,1,,No
1995-07-04T00:00:00Z,1995,83,no,Livestock depredation,Unconifrmed wolf,,Unconfirmed,,Unconfirmed,,1 calf inj,Douglas,1,,No
1995-07-21T00:00:00Z,1995,83,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 calf,Douglas,1,,
1995-08-21T00:00:00Z,1995,83,no,Livestock depredation,Unconfirmed,,Unconfirmed,,Unconfirmed,,4 cows,Douglas,1,,No
1995-11-12T00:00:00Z,1995,83,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 calf,Price,1,,
1996-02-07T00:00:00Z,1996,99,no,Pet depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Dog inj,Burnett,1,trapping and caught,
1996-04-08T00:00:00Z,1996,99,no,Livestock,Unconfirmed cougar,,Unconfirmed,,Unconfirmed,,Threat to Horses,St. Croix,1,,No
1996-04-22T00:00:00Z,1996,99,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf,Burnett,1,trapping,
1996-05-08T00:00:00Z,1996,99,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Plott Hound,Jackson,2,,
1996-05-15T00:00:00Z,1996,99,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 Horse,Washburn,1,,No
1996-06-11T00:00:00Z,1996,99,no,Health and safety,Wolf hybrid,Non-wolf,Confirmed,,Confirmed non-wolf,,1 Child inj,Oneida,1,trapped and sent in for testing,
1996-06-14T00:00:00Z,1996,99,no,Dog,Unconfirmed,,Unconfirmed,,Unconfirmed,,Threat to Dog,Polk,1,,No
1996-06-28T00:00:00Z,1996,99,no,Livestock,Unconfirmed,,Unconfirmed,,Unconfirmed,,5 Bison Harrassed,Marathon,0,,No
1996-07-31T00:00:00Z,1996,99,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,"1 dog (Blue Tick, trng)",Jackson,2,,
1996-09-04T00:00:00Z,1996,99,no,Hunting dog depredation,Probable wolf,Wolf,Probable,,Probable wolf,,1 dog (Plot hound),Ashland,1,,
1996-09-04T00:00:00Z,1996,99,no,Hunting dog depredation,Probable wolf,Wolf,Probable,,Probable wolf,,1 dog (Plot hound),Ashland,1,,
1996-09-10T00:00:00Z,1996,99,no,Livestock depredation,Unconfirmed wolf probably coyote/ dog,,Unconfirmed,,Unconfirmed,,"75 Geese. Turkeys, goats",Shawano,1,,No
1996-09-24T00:00:00Z,1996,99,no,Pet depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 dog (Bear dog),Sawyer,1,,
1996-09-25T00:00:00Z,1996,99,no,Pet depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,2 dogs inj,Ashland,1,,
1996-10-22T00:00:00Z,1996,99,no,Hunting dog depredation,,,,,,,2 dogs (Redbone),Ashland,1,,
1996-12-04T00:00:00Z,1996,99,no,Livestock depredation,Unconfirmed wolf probably dog,,Unconfirmed,,Unconfirmed,,3 hogs,Sawyer,1,,No
1996-12-18T00:00:00Z,1996,99,no,Unspecified non-livestock,Unconfirmed,,Unconfirmed,,Unconfirmed,,,Dodge,4,,No
1997-04-04T00:00:00Z,1997,148,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf,Price,1,,
1997-04-17T00:00:00Z,1997,148,no,Livestock depredation,Unconfirmed wolf possilbe coyote,,Unconfirmed,,Unconfirmed,,1 Calf,Pierce,3,,No
1997-04-23T00:00:00Z,1997,148,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 Calf,Lincoln,1,,No
1997-05-02T00:00:00Z,1997,148,no,Health and safety,Wolf hybrid,Non-wolf,Confirmed,,Confirmed non-wolf,,Health & Safety Concern,Burnett,1,DNR warden shot Hybrids on 05/03/1997,
1997-05-03T00:00:00Z,1997,148,no,Livestock depredation,Coyote Kills,Non-wolf,Confirmed,,Confirmed non-wolf,,1 Calf,Douglas,1,,
1997-05-10T00:00:00Z,1997,148,no,Livestock depredation,Coyote Kill,Non-wolf,Confirmed,,Confirmed non-wolf,,1 Calf,Douglas,1,,
1997-05-15T00:00:00Z,1997,148,no,Livestock depredation,Feral Dogs?,,Unconfirmed,,Unconfirmed,,1 Calf,Oconto,0,,No
1997-05-27T00:00:00Z,1997,148,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,9+ Calves,Burnett,1,trapping,
1997-06-16T00:00:00Z,1997,148,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf,Burnett,1,trapping,
1997-07-10T00:00:00Z,1997,148,no,Livestock,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,Cattle Harassment,Douglas,1,,
1997-08-01T00:00:00Z,1997,148,no,Unspecified non-livestock,Unconfirmed wolf maybe hybrid,,Unconfirmed,,Unconfirmed,,,Burnett,1,trapping,Yes
1997-08-03T00:00:00Z,1997,148,no,Hunting dog depredation,Confirmed bear,Non-wolf,Confirmed,,Confirmed non-wolf,,2 Walker Hounds,Iron,1,,
1997-08-08T00:00:00Z,1997,148,no,Livestock depredation,"Uncomfirmed wolf, probably fisher",,Unconfirmed,,Unconfirmed,,2 Rabbits,Burnett,1,,No
1997-08-14T00:00:00Z,1997,148,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Plott trng,Sawyer,1,,
1997-08-18T00:00:00Z,1997,148,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Walker Hound,Ashland,1,,
1997-08-18T00:00:00Z,1997,148,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Walker Hound,Ashland,1,,
1997-09-20T00:00:00Z,1997,148,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Walker Hound,Douglas,1,,
1997-09-20T00:00:00Z,1997,148,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Walker Hound,Douglas,1,,
1997-12-04T00:00:00Z,1997,148,no,Pet depredation,Unconfirmed how he died,,Unconfirmed,,Unconfirmed,,1 St Bernard,Douglas,1,,No
1997-12-18T00:00:00Z,1997,148,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Springer Spaniel inj,Jackson,2,,
1997-12-30T00:00:00Z,1997,148,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf,Ashland,1,,
1998-01-04T00:00:00Z,1998,178,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Comfirmed wolf,Confirmed wolf,,"1 dog (Bluetick,hntg)",Ashland,1,,
1998-01-08T00:00:00Z,1998,178,no,Hunting dog depredation,Confirmed,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Bluetick inj,Douglas,1,,
1998-03-14T00:00:00Z,1998,178,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,2 Walker Hounds,Jackson,2,,
1998-03-16T00:00:00Z,1998,178,no,Pet depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Beagle,Douglas,1,,
1998-03-20T00:00:00Z,1998,178,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,2 Beagles,Taylor,1,,
1998-03-27T00:00:00Z,1998,178,no,Livestock depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,Livestock Harassment,Barron,1,,No
1998-04-02T00:00:00Z,1998,178,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,"1 Beagle,( trng)",Ashland,1,,
1998-04-13T00:00:00Z,1998,178,no,Livestock depredation,Unconfirmed wolf (possible bear),,Unconfirmed,,Unconfirmed,,1 Calf,Price,1,,No
1998-04-15T00:00:00Z,1998,178,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf,Price,1,,
1998-04-20T00:00:00Z,1998,178,no,Pet depredation,Confirmed wolf hybrids,Wolf,Confirmed,,Confirmed wolf,,1 German Shepard (injd),Oneida,1,WS Picked up hybrid dogs at Hubacker residence,
1998-04-28T00:00:00Z,1998,178,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf,Burnett,1,,
1998-05-01T00:00:00Z,1998,178,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf,Burnett,1,,
1998-05-03T00:00:00Z,1998,178,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf,Rusk,1,,
1998-05-04T00:00:00Z,1998,178,no,Livestock depredation,attack done by Coyote,Non-wolf,Confirmed,,Confirmed non-wolf,,1 Bison Calf,Lincoln,1,,
1998-05-09T00:00:00Z,1998,178,no,Livestock depredation,Confirmed wolves,Wolf,Confirmed,Confirmed wolves,Confirmed wolf,,10 Deer,Bayfield,1,,
1998-05-10T00:00:00Z,1998,178,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,2 Calves,Burnett,1,trapping,
1998-05-21T00:00:00Z,1998,178,no,Livestock depredation,Attack by feral dogs,Non-wolf,Confirmed,,Confirmed non-wolf,,1 Calf,Oconto,1,,
1998-07-04T00:00:00Z,1998,178,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Walker Hound (trng),Price,1,,
1998-07-11T00:00:00Z,1998,178,no,Hunting dog depredation,Unconfirmed wolf,,Unconfirmed,,Unconfirmed,,1 Bear Dog,Taylor,1,,No
1998-07-19T00:00:00Z,1998,178,no,Livestock depredation,Probable wolf depredation,Wolf,Probable,,Probable wolf,,1 Calf,Price,1,,
1998-07-27T00:00:00Z,1998,178,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,,Confirmed wolf,,1 Plott Hound (trng),Douglas,1,,
1998-07-31T00:00:00Z,1998,178,no,Livestock depredation,No evidence,,Unconfirmed,,Unconfirmed,,1 Calf,Douglas,1,,No
1998-08-04T00:00:00Z,1998,178,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf inf,Price,1,,
1998-08-13T00:00:00Z,1998,178,no,Pet depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Black Lab inj,Lincoln,1,,
1998-08-16T00:00:00Z,1998,178,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Plott Hound,Douglas,1,,
1998-09-10T00:00:00Z,1998,178,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf,Taylor,1,,
1998-09-19T00:00:00Z,1998,178,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Walker Hound,Douglas,1,,
1998-10-08T00:00:00Z,1998,178,no,Livestock depredation,Probable wolf depredation,Wolf,Probable,,Probable wolf,,1 Bull Calf,Douglas,1,,
1998-10-14T00:00:00Z,1998,178,no,Livestock depredation,non wolf,Non-wolf,Confirmed,,Confirmed non-wolf,,1 Bull Calf,Marinette,0,,
1998-11-10T00:00:00Z,1998,178,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,1 Calf,Bayfield,1,,
1998-11-12T00:00:00Z,1998,178,no,Hunting dog depredation,Unconfirmed,,Unconfirmed,,Unconfirmed,,1 Springer,Chippewa,1,,No
1998-11-20T00:00:00Z,1998,178,no,Pet depredation,Probable wolf,Wolf,Probable,,Probable wolf,,1 Border Collie,Burnett,1,,
1998-12-15T00:00:00Z,1998,178,no,Pet depredation,Probable wolf,Wolf,Probable,,Probable wolf,,1 Dog,Wood,1,,
1998-12-23T00:00:00Z,1998,178,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,2 Calves,Price,1,,
1999-01-11T00:00:00Z,1999,205,no,Livestock,"no depredation reported, WS recommended owner repair fence",,Unconfirmed,,Unconfirmed,,Deer,Vilas,,,No
1999-01-16T00:00:00Z,1999,205,no,Livestock depredation,Confirmed non-wolf,Non-wolf,Confirmed,,Confirmed non-wolf,,Steer,Clark,,,
1999-02-01T00:00:00Z,1999,205,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,Deer (19),Oneida,,,
1999-03-09T00:00:00Z,1999,205,no,Livestock depredation,Probable hybrid,Hybrid,Probable,,,,2 Rabbits,Oneida,,,
1999-04-23T00:00:00Z,1999,205,no,Livestock depredation,Unconfirmed,,Unconfirmed,,Unconfirmed,,1 Calf,Marathon,,,No
1999-05-27T00:00:00Z,1999,205,no,Livestock,"no depredation reported, WS trapped (no success, 100 trap nights) recommended owner repair fence",,Unconfirmed,,Unconfirmed,,Deer Farm,Bayfield,,,No
1999-05-27T00:00:00Z,1999,205,no,Livestock depredation,Probable wolf/hybrid,Wolf or hybrid,Probable,,,,1 Calf,Marinette,,,
1999-06-06T00:00:00Z,1999,205,no,Livestock depredation,Probable wolf/hybrid,Wolf or hybrid,Probable,,,,1 Calf,Marathon,,,
1999-06-11T00:00:00Z,1999,205,no,Livestock depredation,Confirmed non-wolf,Non-wolf,Confirmed,,Confirmed non-wolf,,1 Heifer,Iron,,,
1999-06-23T00:00:00Z,1999,205,no,Livestock depredation,Unconfirmed,,Unconfirmed,,Unconfirmed,,3 calves,Oneida,,,No
1999-07-01T00:00:00Z,1999,205,no,Pet depredation,"Probable wolf - dog injured, payment is for vet bill.",Wolf,Probable,,Probable wolf,,1 Dog (St. Bernard/Lab),Taylor,,,
1999-07-09T00:00:00Z,1999,205,no,Livestock depredation,Unconfirmed,,Unconfirmed,,Unconfirmed,,1 Duck,Chippewa,,,No
1999-07-11T00:00:00Z,1999,205,no,Livestock depredation,Confirmed non-wolf,Non-wolf,Confirmed,,Confirmed non-wolf,,Calf & cow,Barron,,,
1999-07-23T00:00:00Z,1999,205,no,Livestock depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,29 chickens,Taylor,,,
1999-07-23T00:00:00Z,1999,205,no,Livestock depredation,Unconfirmed,,Unconfirmed,,Unconfirmed,,4 pigs,Forest,,,No
1999-07-27T00:00:00Z,1999,205,no,Livestock,"no depredation reported, WS trapped (no success)",,Unconfirmed,,Unconfirmed,,Chickens,Taylor,,,No
1999-08-07T00:00:00Z,1999,205,no,Livestock depredation,Confirmed non-wolf,Non-wolf,Confirmed,,Confirmed non-wolf,,1 Calf,Bayfield,,,
1999-08-07T00:00:00Z,1999,205,no,Hunting dog depredation,Confirmed wolf,Wolf,Confirmed,Confirmed wolf,Confirmed wolf,,"2 Dogs (Bear hounds, 1 killed, 1 injured)",Taylor,,,
1999-08-09T00:00:00Z,1999,205,no,Livestock depredation,Confirmed non-wolf,Non-wolf,Confirmed,,Confirmed non-wolf,,40 chickens,Bayfield,,,
1999-08-20T00:00:00Z,1999,205,no,Hunting dog depredation,Probable wolf,Wolf,Probable,,Probable wolf,,Dog (Bear Hound),Douglas,,,
1999-08-26T00:00:00Z,1999,205,no,Livestock,Probable wolf,Wolf,Probable,,Probable wolf,,cattle,Douglas,,,
1999-08-28T00:00:00Z,1999,205,no,Livestock depredation,Probable wolf,Wolf,Probable,,Probable wolf,,"2 calves, 1 killed, 1 injured",Washburn,,,
1999-08-30T00:00:00Z,1999,205,no,Livestock depredation,Confirmed non-wolf,Non-wolf,Confirmed,,Confirmed non-wolf,,1 Cow,Douglas,,,
1999-09-24T00:00:00Z,1999,205,no,Livestock depredation,Confirmed non-wolf,Non-wolf,Confirmed,,Confirmed non-wolf,,Chickens,Lincoln,,,
1999-10-10T00:00:00Z,1999,205,no,Livestock depredation,Confirmed non-wolf,Non-wolf,Confirmed,,Confirmed non-wolf,,Heifer,Trempealeau,,,
1999-10-12T00:00:00Z,1999,205,no,Livestock,No depredation documented,,Unconfirmed,,Unconfirmed,,Deer Farm,Oneida,,,No
1999-10-13T00:00:00Z,1999,205,no,Livestock depredation,Unconfirmed,,Unconfirmed,,Unconfirmed,,1 Calf,Marathon,,,No
1999-10-25T00:00:00Z,1999,205,no,Livestock depredation,Confirmed non-wolf,Non-wolf,Confirmed,,Confirmed non-wolf,,1 Heifer,Ashland,,,
1999-11-02T00:00:00Z,1999,205,no,Livestock depredation,Confirmed non-wolf,Non-wolf,Confirmed,,Confirmed non-wolf,,2 Sheep,Bayfield,,,
1999-11-15T00:00:00Z,1999,205,no,Livestock depredation,Unconfirmed,,Unconfirmed,,Unconfirmed,,1 Calf,Marathon,,,No
1999-11-18T00:00:00Z,1999,205,no,Livestock depredation,Probable wolf,Wolf,Probable,,Probable wolf,,"2 Calves, + and additional calf & cow (not confirmed by WS)",Barron,,,
1999-12-03T00:00:00Z,1999,205,no,Livestock depredation,Unconfirmed,,Unconfirmed,,Unconfirmed,,2 Horses,Lincoln,,,No
2000-01-17T00:00:00Z,2000,248,no,Pet depredation,Confirmed wolf,Wolf,Confirmed,confirmed wolf,Confirmed wolf,,1 Dog,Burnett,,,
2000-01-18T00:00:00Z,2000,248,no,Livestock depredation,"confirmed wolf, WS trapping",Wolf,Confirmed,"confirmed wolf, WS trapping",Confirmed wolf,,3 Deer,Oneida,,,
