"id","indicator","biomass","logbiomass","composition","x","y","t2.loc","t2.scale","t1.loc","t1.scale","d.pz","t2.pz"
"1",0,0,NA,0,436000,1196000,6.10280908986172,3.45123160503279,0.781525481640831,-14.5150227633397,2.5230249143615,-0.00364480693926461
"2",0,0,NA,0,444000,1196000,7.48849885122635,4.27811746118458,0.778528247587361,-14.5848860387358,-1.09380417547037,-1.42546557230245
"3",0,0,NA,0,460000,1196000,6.25431715872936,3.5332386148721,0.772305770144876,-14.7307901900905,2.77339179556624,-0.135925855146412
"4",0,0,NA,0,412000,1188000,6.02705041977536,3.41094220793121,0.775050648856472,-14.6662841236166,2.10110151928808,0.061060410990093
"5",0,0,NA,0,420000,1188000,5.98653376687883,3.38958833610692,0.776664718965057,-14.6284592229426,2.19690334377713,0.0952967453203216
"6",0,0,NA,0,428000,1188000,6.50033685386026,3.67057364988852,0.77591978903004,-14.6459064943878,0.481490980829884,-0.359920776858507
"7",0,0,NA,0,436000,1188000,6.8221476737562,3.85830757327257,0.773440801835747,-14.7040886027601,-0.284234910139544,-0.673519266180217
"8",1,3896.92265150922,8.26794245692752,0.0833333333333333,444000,1188000,6.27580515458321,4.98559175612697,1.00499487811292,8.69020848530354,1.474656112218,-0.155017148206218
"9",1,5230.81764310048,8.5623228819525,0.0333333333333333,452000,1188000,6.98157493990764,4.65233313555217,1.61638868213422,7.63728783043579,-0.306786840059458,-0.839263134190776
"10",0,0,NA,0,460000,1188000,6.64145860638405,3.75174786739788,0.763677778989035,-14.935055680494,0.706726916081188,-0.494281227938116
"11",0,0,NA,0,404000,1180000,6.50856487342818,3.67525787678562,0.762531571889475,-14.9623653454332,0.342000443528195,-0.367629516070802
"12",0,0,NA,0,412000,1180000,6.06546913892119,3.43131463037306,0.766235214879393,-14.8742693771317,1.77004999636805,0.0283615805990162
"13",0,0,NA,0,420000,1180000,6.50922022219382,3.67563122498398,0.767425905941529,-14.8460376739775,0.125350367823133,-0.368244148894756
"14",1,585.765857059722,6.37292014839958,0.0454545454545455,428000,1180000,6.64706707079237,1.41430834148756,1.8084801907256,8.23255216579147,-0.382451708338869,-0.499718453989336
"15",1,452.061898901703,6.11381911492899,0.0161290322580645,436000,1180000,6.17558415976133,0.641907342435167,1.24196519617456,6.95897990937182,0.898217246918308,-0.0666878651495704
"16",0,0,NA,0,444000,1180000,6.6242352613317,3.74174548915243,0.76043771725968,-15.0123599296162,-0.284664803497818,-0.47763178829936
"17",0,0,NA,0,452000,1180000,6.15879122160053,3.48130904260792,0.757278460542539,-15.0880540745704,1.13175673530826,-0.0520610313164745
"18",0,0,NA,0,324000,1172000,3.76194927303138,2.40103016985108,0.718221782399663,-16.0508290343987,1.78144646206991,1.73271256423882
"19",0,0,NA,0,332000,1172000,3.96943658618913,2.47950369269234,0.717413754236792,-16.0712958204593,1.7520967351379,1.59257155325322
"20",1,1850.22502044618,7.52306254334933,0.1,380000,1172000,7.12815586207637,2.0025996067833,1.01586763562093,7.99322742260784,-2.36050228115108,-0.998772046194592
"21",1,1329.19762632744,7.19233075068847,0.0740740740740741,388000,1172000,7.52533195862596,1.77226478045898,1.00940902836571,7.67420120250403,-2.6159972828249,-1.47227071144697
"22",1,5109.45717693086,8.53884844994871,0.0612244897959184,396000,1172000,7.51918113177703,3.73701235636147,1.46589411636796,7.76303380709922,-2.34287107403506,-1.46440912538116
"23",1,1113.24943676485,7.01503843826398,0.0254237288135593,404000,1172000,7.1106293618071,0.918928143665924,0.592788625049194,7.17993953723824,-1.39794048260243,-0.979313186195443
"24",1,198.189091999443,5.28922158506072,0.00666666666666667,412000,1172000,6.43429645967934,2.50309928976673,1.02131870928811,5.90399336378385,0.269285367599382,-0.298580724167021
"25",1,547.17972099006,6.30477730602743,0.0202702702702703,420000,1172000,6.84262747290809,1.97280694369227,1.39812758229623,7.37046818480193,-1.07356471153512,-0.694391176623227
"26",1,2091.28438621013,7.6455336950637,0.0769230769230769,428000,1172000,6.41679424523012,3.56553735212937,0.875327966554184,7.9862018633437,-0.277054333963079,-0.28247934251546
"27",0,0,NA,0,436000,1172000,6.38284135641201,3.60433091959908,0.752651366629501,-15.1994887148725,-0.375059512167787,-0.251423950862479
"28",0,0,NA,0,444000,1172000,5.48552835341608,3.13632784725981,0.750035682165764,-15.2627859229157,2.30980601335116,0.500267845332849
"29",0,0,NA,0,452000,1172000,5.45237791302764,3.12025372894643,0.747610832078578,-15.3216625957598,2.40604171840484,0.526017883725683
"30",0,0,NA,0,308000,1164000,3.94852312284062,2.47147917930979,0.721524474630669,-15.9674128703511,0.849591124477078,1.60676707256197
"31",0,0,NA,0.0140845070422535,316000,1164000,3.7971991208558,2.41418464530898,2.38046729239145,5.73596512346491,1.70674091630603,1.7090097406086
"32",0,0,NA,0,324000,1164000,4.07486493822897,2.52035511640065,0.719220835299327,-16.0255555370427,1.22657459005989,1.52075315335685
"33",0,0,NA,0,332000,1164000,4.13194839420322,2.54275400217502,0.717586169550821,-16.0669267276787,1.64370019856451,1.48168170086785
"34",0,0,NA,0,340000,1164000,4.34333146285648,2.62744560697608,0.716312921886263,-16.0992162573381,1.61663876084556,1.33576297670073
"35",0,0,NA,0,348000,1164000,4.5665843957496,2.71995769455906,0.715736993163606,-16.1138406524402,1.59531034517594,1.17929385283384
"36",0,0,NA,0,356000,1164000,5.02448461564903,2.92002115407948,0.716282976481775,-16.0999763626825,0.803968286009467,0.849099493582972
"37",1,619.289846347804,6.42857341244033,0.0116279069767442,364000,1164000,5.12765999063529,3.03653176549005,0.539713842745291,6.28687198409316,1.28759779057325,0.772648157261384
